Entity	Year	Total population (Gapminder, HYDE & UN)	GDP (per capita)	CO2 emissions (per capita)
United States	1946	145048176	14471	15.53300404
United States	1947	147333408	14057	16.83774596
United States	1948	149992560	14559	17.18120163
United States	1949	154449952	14112	13.98504991
United States	1950	158804000	15241	15.96900793
United States	1951	160872000	16126	16.23880919
United States	1952	163266000	16443	15.5885509
United States	1953	165910000	16917	15.70577542
United States	1954	168736000	16513	14.71560601
United States	1955	171684992	17370	15.85299775
United States	1956	174704992	17398	16.32983667
United States	1957	177751008	17407	15.91333684
United States	1958	180788000	16945	15.16098865
United States	1959	183786000	17901	15.36028132
United States	1960	186720992	18058	15.46596556
United States	1961	189570000	18175	15.17840295
United States	1962	192314000	18977	15.51630014
United States	1963	194932000	19515	15.98517622
United States	1964	197408000	20360	16.4773219
United States	1965	199734000	21390	16.96352488
United States	1966	201896000	22529	17.62877501
United States	1967	203904992	22842	18.11283841
United States	1968	205806000	23692	18.60152791
United States	1969	207659008	24196	19.36589535
United States	1970	209512992	23958	20.64550166
United States	1971	211384000	24395	20.58485357
United States	1972	213270000	25415	21.37409219
United States	1973	215179008	26603	22.13251309
United States	1974	217115008	26287	21.15449458
United States	1975	219080992	25956	20.08752548
United States	1976	221086000	27059	20.83880565
United States	1977	223136000	28001	21.22188404
United States	1978	225223008	29287	21.68057366
United States	1979	227339008	29951	21.52751047
United States	1980	229476000	29613	20.55429045
France	1901	40706904	4650	3.070847343
France	1902	40789608	4566	2.88460806
France	1903	40843224	4657	3.166813276
France	1904	40900292	4683	3.080604706
France	1905	40958592	4761	3.111107726
France	1906	41025020	4842	3.328902021
France	1907	41066652	5051	3.54536737
France	1908	41135004	5009	3.566643339
France	1909	41209572	5210	3.642254765
France	1910	41294568	4878	3.647268667
France	1911	41383848	5346	3.791506677
France	1912	41465112	5782	3.82436975
France	1913	41523004	5733	4.12090763
France	1914	41231120	5324	2.87042564
France	1915	40705028	5343	2.536128952
France	1916	39975432	5698	2.743914512
France	1917	39328984	4901	3.091981629
France	1918	38932952	3941	2.785577009
France	1919	38836732	4625	2.990505792
France	1920	39069936	5309	3.884765411
France	1921	39310488	5058	3.508206156
France	1922	39604500	5939	4.11949632
France	1923	39961988	6175	4.609112039
France	1924	40359568	6876	5.119850242
France	1925	40690332	6854	5.254992169
France	1926	40900816	6991	5.225619753
France	1927	41047820	6834	5.190034842
France	1928	41168096	7290	5.140784359
France	1929	41391944	7748	5.660653967
France	1930	41662568	7455	5.704265949
France	1931	41873056	6967	5.194590049
France	1932	41966604	6513	4.570199295
France	1933	41996672	6974	4.74813509
France	1934	42023400	6896	4.791848732
France	1935	42030080	6722	4.648816467
France	1936	42023400	6982	4.713988492
France	1937	42030080	7381	5.18015212
France	1938	42026740	7347	4.801668271
France	1939	41716024	7885	4.665282195
France	1940	40927544	6650	3.365388551
France	1941	40092288	5444	2.99116678
France	1942	39424084	4905	3.10738583
France	1943	39190212	4705	3.196142547
France	1944	39290440	3984	2.0359265
France	1945	39721432	4233	2.698090039
France	1946	40316136	6342	4.098947578
France	1947	40787220	6807	4.502382854
France	1948	41184804	7228	4.771718812
France	1949	41569624	8137	5.510681165
France	1950	41834000	8531	4.835965005
France	1951	42031000	8984	5.44269325
France	1952	42316000	9154	5.364907836
France	1953	42655000	9351	5.03073084
France	1954	43025000	9731	5.261853155
France	1955	43411000	10198	5.506086107
France	1956	43809000	10608	6.129917414
