country	week	deaths
Australia	1	2
Australia	2	2
Australia	3	2
Australia	4	2
Australia	5	1
Australia	6	1
Australia	7	1
Australia	8	1
Australia	9	1
Australia	10	1
Australia	11	1
Australia	12	1
Australia	13	1
Australia	14	1
Australia	15	1
Australia	16	1
Australia	17	1
Australia	18	1
Australia	19	1
Australia	20	1
Australia	21	1
Australia	22	1
Australia	23	1
Australia	24	1
Australia	25	1
Australia	26	1
Australia	27	1
Australia	28	1
Australia	29	1
Australia	30	1
Australia	31	1
Australia	32	1
Australia	33	1
Australia	34	1
Australia	35	1
Australia	36	1
Australia	37	1
Australia	38	1
Australia	39	1
Australia	40	1
Australia	41	1
Australia	42	1
Australia	43	1
Australia	44	1
Australia	45	1
Australia	46	1
Australia	47	1
Australia	48	1
Australia	49	1
Australia	50	1
Australia	51	1
Australia	52	1
Australia	53	1
Austria	1	2
Austria	2	2
Austria	3	2
Austria	4	2
Austria	5	2
Austria	6	2
Austria	7	2
Austria	8	2
Austria	9	2
Austria	10	2
Austria	11	2
Austria	12	2
Austria	13	2
Austria	14	2
Austria	15	2
Austria	16	2
Austria	17	1
Austria	18	1
Austria	19	1
Austria	20	1
Austria	21	1
Austria	22	1
Austria	23	1
Austria	24	1
Austria	25	1
Austria	26	1
Austria	27	1
Austria	28	1
Austria	29	1
Austria	30	1
Austria	31	1
Austria	32	1
Austria	33	1
Austria	34	1
Austria	35	1
Austria	36	1
Austria	37	1
Austria	38	1
Austria	39	1
Austria	40	1
Austria	41	1
Austria	42	1
Austria	43	1
Austria	44	1
Austria	45	1
Austria	46	1
Austria	47	1
Austria	48	1
Austria	49	1
Austria	50	1
Austria	51	1
Austria	52	1
Austria	53	1
Belgium	1	2
Belgium	2	2
Belgium	3	2
Belgium	4	2
Belgium	5	2
Belgium	6	2
Belgium	7	2
Belgium	8	2
Belgium	9	2
Belgium	10	2
Belgium	11	2
Belgium	12	2
Belgium	13	2
Belgium	14	2
Belgium	15	2
Belgium	16	2
Belgium	17	1
Belgium	18	1
Belgium	19	1
Belgium	20	1
Belgium	21	1
Belgium	22	1
Belgium	23	1
Belgium	24	1
Belgium	25	1
Belgium	26	1
Belgium	27	1
Belgium	28	1
Belgium	29	1
Belgium	30	1
Belgium	31	1
Belgium	32	1
Belgium	33	1
Belgium	34	1
Belgium	35	1
Belgium	36	1
Belgium	37	1
Belgium	38	1
Belgium	39	1
Belgium	40	1
Belgium	41	1
Belgium	42	1
Belgium	43	1
Belgium	44	1
Belgium	45	1
Belgium	46	1
Belgium	47	1
Belgium	48	1
Belgium	49	1
Belgium	50	1
Belgium	51	1
Belgium	52	1
Belgium	53	1
Britain	1	28
Britain	2	28
Britain	3	28
Britain	4	28
Britain	5	28
Britain	6	28
Britain	7	28
Britain	8	28
Britain	9	28
Britain	10	28
Britain	11	28
Britain	12	28
Britain	13	28
Britain	14	28
Britain	15	28
Britain	16	28
Britain	17	28
Britain	18	14
Britain	19	14
Britain	20	14
Britain	21	14
Britain	22	14
Britain	23	14
Britain	24	14
Britain	25	14
Britain	26	14
Britain	27	14
Britain	28	14
Britain	29	14
Britain	30	14
Britain	31	14
Britain	32	14
