Category	Format	Year	Units	Revenues	Revenues-Adjusted	Rank
Tape	8 - Track	1973	91	489	2815.681824	2
Tape	8 - Track	1974	96.7	549.2	2848.008609	2
Tape	8 - Track	1975	94.6	583	2770.409498	2
Tape	8 - Track	1976	106.1	678.2	3047.215772	2
Tape	8 - Track	1977	127.3	811	3421.416287	2
Tape	8 - Track	1978	133.6	948	3717.221411	2
Tape	8 - Track	1979	102.3	684.3	2409.72569	2
Tape	8 - Track	1980	85	527	1635.087852	2
Tape	8 - Track	1981	50	313	880.3150825	2
Tape	8 - Track	1982	13.7	36	95.37463212	2
Tape	Cassette	1973	15	76	437.6110811	2
Tape	Cassette	1974	15.3	87.2	452.1965598	2
Tape	Cassette	1975	16.2	98.8	469.4964981	2
Tape	Cassette	1976	21.8	145.7	654.6436714	2
Tape	Cassette	1977	36.9	249.6	1053.003089	2
Tape	Cassette	1978	61.3	449.8	1763.71961	2
Tape	Cassette	1979	78.5	580.6	2044.551711	2
Tape	Cassette	1980	99	705	2187.356614	2
Tape	Cassette	1981	124	1062.8	2989.133769	2
Tape	Cassette	1982	183.2	1384.5	3667.949394	2
Tape	Cassette	1983	236.8	1810.9	4648.285756	2
Tape	Cassette	1984	332	2383.9	5865.839483	2
Tape	Cassette	1985	339.1	2411.5	5729.710553	2
Tape	Cassette	1986	344.5	2499.5	5830.425835	2
Tape	Cassette	1987	410	2959.7	6660.810061	2
Tape	Cassette	1988	450.1	3385.1	7315.507276	2
Tape	Cassette	1989	446.2	3345.8	6898.20315	2
Tape	Cassette	1990	442.2	3472.4	6792.221628	2
Tape	Cassette	1991	360.1	3019.6	5668.002035	2
Tape	Cassette	1992	366.4	3116.3	5678.573835	2
Tape	Cassette	1993	339.5	2915.8	5158.786717	2
Tape	Cassette	1994	345.4	2976.4	5134.531004	2
Tape	Cassette	1995	272.6	2303.6	3864.379693	2
Tape	Cassette	1996	225.3	1905.3	3104.546094	2
Tape	Cassette	1997	172.6	1522.7	2425.476099	2
Tape	Cassette	1998	158.5	1419.9	2227.039106	2
Tape	Cassette	1999	123.6	1061.6	1629.084461	2
Tape	Cassette	2000	76	626	929.3918815	2
Tape	Cassette	2001	45	363.4	524.5948831	2
Tape	Cassette	2002	31.1	209.8	298.1480745	2
